#{"t_start": 1724151161.8511932, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
1177.7687,500,1805.170997,pursuer_1_0.5730804292120266,pursuer_1_1.4207774686295958,pursuer_1_0
363.5644,500,1942.239081,pursuer_0_0.6863113388512253,pursuer_0_1.4299041452832824,pursuer_0_0
1765.3684,500,1942.239595,pursuer_1_0.4993360481303848,pursuer_1_1.1767562189424765,pursuer_1_0
-140.16081,500,1942.239703,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
1524.0725,500,1942.239779,pursuer_1_0.5309897032760202,pursuer_1_1.2224625599675738,pursuer_1_0
2571.4434,500,1942.239837,pursuer_0_0.4136149775710395,pursuer_0_1.0264326312014143,pursuer_0_0
2415.8442,500,1942.23989,pursuer_1_0.42238262830998247,pursuer_1_1.0437214404149993,pursuer_1_0
1463.6296,500,1942.239937,pursuer_0_0.5496605582008427,pursuer_0_1.2488360105599718,pursuer_0_0
2933.3088,500,1942.239998,pursuer_1_0.36666252529734256,pursuer_1_1.4817321696742667,pursuer_1_0
2182.7273,500,1942.240051,pursuer_0_0.4674318466434062,pursuer_0_1.4071685922055701,pursuer_0_0
2318.366,500,1942.240099,pursuer_1_0.4370840554446569,pursuer_1_1.3993082940601551,pursuer_1_0
2839.3848,500,1942.240164,pursuer_0_0.3873828901011965,pursuer_0_1.3847958324670313,pursuer_0_0
1928.8834,500,1942.240218,pursuer_1_0.4844092462249852,pursuer_1_1.3018490702567105,pursuer_1_0
1715.731,500,1942.240268,pursuer_0_0.5212799247899575,pursuer_0_1.392447348899112,pursuer_0_0
2422.4224,500,1942.240316,pursuer_1_0.41905347847063973,pursuer_1_1.2597259081690801,pursuer_1_0
-130.61374,500,1942.240374,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2770.8567,500,1942.240444,pursuer_1_0.3822013099058491,pursuer_1_1.4935435423118075,pursuer_1_0
-159.43443,500,2066.498785,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2440.7207,500,2066.499668,pursuer_1_0.42113095482145,pursuer_1_1.3364055836718416,pursuer_1_0
-150.1439,500,2066.499752,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2796.918,500,2066.499802,pursuer_1_0.37559062963786016,pursuer_1_1.331168101971903,pursuer_1_0
2000.4064,500,2066.499841,pursuer_0_0.48384455064329557,pursuer_0_1.1566683078736464,pursuer_0_0
2025.6001,500,2066.499878,pursuer_1_0.46375804680156724,pursuer_1_1.2413311086169199,pursuer_1_0
1965.0121,500,2066.499915,pursuer_0_0.48934327919753784,pursuer_0_1.1625585596605175,pursuer_0_0
789.85297,500,2066.499954,pursuer_1_0.6202277206185117,pursuer_1_1.348127995861921,pursuer_1_0
1925.0177,500,2066.499989,pursuer_0_0.49846781051209604,pursuer_0_1.49099928383722,pursuer_0_0
1561.4138,500,2066.500025,pursuer_1_0.5217640499165486,pursuer_1_1.2199236782254108,pursuer_1_0
1419.9757,500,2066.50006,pursuer_0_0.5537939457775934,pursuer_0_1.2545563062442533,pursuer_0_0
2347.652,500,2066.500096,pursuer_1_0.4329749357578187,pursuer_1_1.379112779003282,pursuer_1_0
2235.7595,500,2066.500154,pursuer_0_0.45596874573120544,pursuer_0_1.1082926918617049,pursuer_0_0
2731.8591,500,2066.500186,pursuer_1_0.3837832069551636,pursuer_1_1.1429484137616521,pursuer_1_0
2131.6987,500,2066.500217,pursuer_0_0.4691023795837019,pursuer_0_1.1368983712468113,pursuer_0_0
