#{"t_start": 1724071915.097326, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
2890.9375,500,1134.501641,pursuer_0_0.5320028004104811,pursuer_0_1.3017775816608845,pursuer_0_0
1489.3817,500,1134.501665,pursuer_1_0.5335949754173659,pursuer_1_1.2261986407123922,pursuer_1_0
1132.8961,500,1134.501688,pursuer_0_0.5908481948992714,pursuer_0_1.3042327633517337,pursuer_0_0
3012.778,500,1134.501712,pursuer_1_0.356517660150227,pursuer_1_1.4945692848230236,pursuer_1_0
1042.9594,500,1134.501736,pursuer_0_0.6296603602313662,pursuer_0_1.3190751233466984,pursuer_0_0
64.09384,500,1134.50176,pursuer_1_0.7129368962355841,pursuer_1_1.4553000047345297,pursuer_1_0
2937.9236,500,1134.501787,pursuer_0_0.4032875050043422,pursuer_0_1.3069723811669984,pursuer_0_0
2472.2407,500,1134.501819,pursuer_1_0.4222828989654701,pursuer_1_1.3187382375904448,pursuer_1_0
387.92087,500,1134.50185,pursuer_0_0.6393049515616042,pursuer_0_1.4230016737248925,pursuer_0_0
2027.8877,500,1134.50188,pursuer_1_0.47340259243603217,pursuer_1_1.4386994857838495,pursuer_1_0
-119.005486,500,1134.501908,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-220.47995,500,1134.501932,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
15.6506405,500,1197.092484,pursuer_0_0.737407728862673,pursuer_0_1.4837612835584708,pursuer_0_0
1950.8956,500,1197.093585,pursuer_1_0.4793358483892787,pursuer_1_1.1435429605460639,pursuer_1_0
3064.4133,500,1197.093654,pursuer_0_0.36287211091353977,pursuer_0_1.4109339490127089,pursuer_0_0
-246.92386,500,1197.093694,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2349.2266,500,1197.093737,pursuer_0_0.44613701358003144,pursuer_0_1.3009001631105308,pursuer_0_0
2234.942,500,1197.093773,pursuer_1_0.4463038743141604,pursuer_1_1.1591028771249612,pursuer_1_0
-139.10661,500,1197.093806,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
421.6931,500,1197.093837,pursuer_1_0.669831708097598,pursuer_1_1.4114337922918072,pursuer_1_0
1115.9077,500,1197.093868,pursuer_0_0.4342140586190764,pursuer_0_1.3413330526473974,pursuer_0_0
2357.3455,500,1197.093916,pursuer_1_0.42963096433932885,pursuer_1_1.2373727539485828,pursuer_1_0
18.756203,500,1197.093959,pursuer_0_0.7344083871952282,pursuer_0_1.4849485730132066,pursuer_0_0
1997.9797,500,1197.094006,pursuer_1_0.47219570394193766,pursuer_1_1.1361640076644086,pursuer_1_0
-118.803505,500,1197.094039,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2407.5554,500,1197.09407,pursuer_1_0.4255017019835501,pursuer_1_1.048531968645175,pursuer_1_0
1738.7351,500,1197.094101,pursuer_0_0.5221449650605893,pursuer_0_1.3861854383028476,pursuer_0_0
-254.35493,500,1197.094148,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-155.2088,500,1256.684843,pursuer_0_0.70141896389871,pursuer_0_0,pursuer_0_0
1708.709,500,1256.684927,pursuer_1_0.5046498389386329,pursuer_1_1.1849018693547633,pursuer_1_0
-143.22296,500,1256.684964,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2229.9495,500,1256.684993,pursuer_1_0.44269115322283814,pursuer_1_1.1826246369554483,pursuer_1_0
1478.3121,500,1256.68502,pursuer_0_0.5031621646268036,pursuer_0_1.2617556236459135,pursuer_0_0
2220.4087,500,1256.685046,pursuer_1_0.4476694913250408,pursuer_1_1.091749695339029,pursuer_1_0
-151.20319,500,1256.68507,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2505.4065,500,1256.685095,pursuer_1_0.4140093005194175,pursuer_1_1.3700795639071799,pursuer_1_0
1852.803,500,1256.685119,pursuer_0_0.5377855573700194,pursuer_0_1.369403006367643,pursuer_0_0
